id,tweet,true_label,bert_label,gpt_label,trad_label
96874,#RAP is a form of ART! Used to express yourself freely. It does not gv the green light or excuse the behavior of acting like an animal! She is not in the streets of the BX where violence is a way of living. Elevate yourself boo and get on @USER level for longevity! #QUEEN👑,NOT,NOT,NOT,OFF
65507,@USER Do you get the feeling he is kissing @USER behind so he can humiliate him later?,OFF,NOT,OFF,NOT
22452,"𝓒-𝓒𝓮𝓭𝓻𝓪𝓷..  The Nord cannot make a single move, but he is fully aware of what is happening. A chill comes down his spine as a ghostly, rather. . . calm female voice called for him from a corner of the room.  Before he even has time to /attempt/ a response, +",NOT,NOT,NOT,OFF
24930,"#Dallas#Policewoman kills neighbor in HIS own apartment? WHAT went wrong?? See:Officer who shot man in his own apartment was involved in 2017 shooting of a suspect. “She is devastated,said a Dallas police officer, adds she is ""so so sorry for his family?"" URL",NOT,NOT,NOT,OFF
53563,"#kznlt Enjouji really is the prototype of my character brand, he is nothing but things that I love all rolled into one horrible package and fed directly into baby me's subconscious.",NOT,NOT,NOT,OFF
21454,#Beto #BetoForSenate #BetoORourke #BetoforTX  Willie Nelson laughs at conservatives who are upset with him. URL,NOT,NOT,NOT,OFF
99680,Levi Strauss has “never been afraid to take an unpopular stand to support a greater good.” '  What about when they shut down all manufacturing in America?  That wasn't even a news story when it happened. Maybe they're right; it wasn't unpopular.  URL,NOT,NOT,NOT,OFF
58742,#Amnesty_International: US is in violation of international human rights law by not passing stronger #gun_control URL via @USER URL,NOT,NOT,NOT,OFF
98916,"#ANTIFA are bedfellows with The Democratic Socialists of America (DSA) who #JamesOKeefe has exposed as being inserted throughout government, attempting to bring down #America  #Trump #MAGA🇺🇸 #DeepState  URL",OFF,NOT,OFF,NOT
88905,#FortniteBattleRoyale #XboxShare @USER   Please ban this cheating scum.  he is literally invisible URL,OFF,OFF,OFF,NOT
88670,"#republicans put WALLin budget..you are going to loose Pres.Trump followers. He is why U R there, so support him URL",NOT,NOT,NOT,OFF
27158,Amazon will ship live Christmas trees to your door — but will they stay and put on the damn lights? URL,OFF,OFF,OFF,NOT
42325,#Conservatives Govt ' @USER made my life hell': whistleblowers say they were threatened by regulator; I thought this Govt promised to protect whistleblowers?  URL,OFF,OFF,OFF,NOT
24316,@USER #Zuckerberg lies.,NOT,NOT,NOT,OFF
15180,#FortniteBattleRoyale #XboxShare @USER   Please ban this cheating scum.  he is literally invisible URL,OFF,OFF,OFF,NOT
76565,@USER Gun control? I'm wondering who was in control of all those bodies that got suicided because of you. You need to be controlled.  24/7/365 #GITMO THE PAIN IS COMING. #MAGA #QAnon #Benghazi  Hope they televise your demise.,NOT,OFF,NOT,OFF
81352,#BoycottNFL .@USER You are dead to me. @USER @USER URL,OFF,OFF,OFF,NOT
15815,#BelieveAllWomen just when I think things can't get dumber.. this happens.. liberals probably don't realize this because they are children but this isn't equality. How about we treat women an men the same.. pretty sure that'll have better results for culture,OFF,OFF,OFF,NOT
86385,"@USER Let's just be friends and have a civil discussion.""  So it's totally fine if he is told to his face that his life is sinful. But criticize him ever so lightly and that is not civil anymore, which deserves a block!""",NOT,NOT,NOT,OFF
52104,"#Chequers crashes and burns in #Strasbourg along with #May's hopes of clinging to power...…..her support ebbing away in the @USER Party, in #Parliament and in the Country.  It is time for her to load the Webley.....",NOT,NOT,NOT,OFF
43587,"#Conservatives £2 bn Housing on-trick @USER -  What a crock of sh#te""! @USER #HousingCrisis  URL",OFF,NOT,OFF,NOT
