id,tweet,subtask_a
86426,@USER She should ask a few native Americans what their take on this is.,OFF
90194,@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL,OFF
16820,Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT,NOT
62688,"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂""",OFF
43605,@USER @USER Obama wanted liberals &amp; illegals to move into red states,NOT
97670,@USER Liberals are all Kookoo !!!,OFF
77444,@USER @USER Oh noes! Tough shit.,OFF
52415,@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,OFF
45157,@USER Buy more icecream!!!,NOT
13384,@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo,OFF
82776,@USER @USER @USER It’s not my fault you support gun control,NOT
42992,@USER What’s the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL,NOT
28414,@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL,OFF
54920,@USER @USER @USER It should scare every American!  She is playing Hockey with a warped puck!,NOT
56392,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE.,NOT
86735,@USER you are also the king of taste,NOT
95686,#MAGA @USER  🎶 Sing like no one is listening  ♥️ Love like you've never been hurt  ✔️ Vote GOP when no one is watching  🙉  And don't listen to Liberals' dirt URL,NOT
71446,"5/5: @USER The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist""",NOT
23958,@USER Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂,NOT
28195,@USER @USER @USER gun control! That is all these kids are asking for!,OFF
56117,@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL,OFF
67757,@USER @USER You are correct.,NOT
12681,@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?,OFF
82904,@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔,OFF
63236,@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL,NOT
77665,@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..,OFF
83484,"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”""  URL #TCOT #MAGA #RedNationRising""",NOT
74932,@USER @USER You can tell he is a hooper too,NOT
91252,@USER I feel like he is better chasing the title,NOT
25440,@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?,OFF
81613,@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL,NOT
82333,@USER Yes you are but I was asking what is it about the movie ?🤷‍♂️👀,NOT
12609,The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK,OFF
13017,@USER No wonder he is being apologetic and more social these day....,NOT
