id,tweet,true_label,bert_label,gpt_label,trad_label
15938,Always smack URL,NOT,NOT,OFF,NOT
30900,@USER @USER @USER Are you referring to how they lollygag with gun control as their kids get slaughtered in schools?,NOT,OFF,OFF,NOT
44546,@USER @USER @USER @USER @USER @USER @USER @USER @USER I’m shocked to learn human traffickers had guns.  Some probably illegal too.  CA needs more gun control.  But don’t worry about the actual crime.  The pic of black guns is worse.,OFF,NOT,NOT,OFF
91217,@USER My only point of contention is this.  He decided to keep this group which has top end talent and also decided to hire hot trash Mike McCoy. Wilks hasn't even been able to get his defense to line up correctly. He is in over his head.,NOT,OFF,OFF,NOT
39752,@USER Well she is Chuck Schumer's cousin or niece or something so she is obviously part of the DNC conspiracy against Nixon. Or part of the Deep State. Or a Zionist plot. Or 'Big comedy'. Or whatever the hell today's conspiracy theory is.,NOT,OFF,OFF,NOT
68539,#MAGA Alert : Joe Biden on #Trump Supporters: 'The Dregs Of Society' (VIDEO) URL via @USER,NOT,NOT,OFF,NOT
37740,#SerenaWilliams is so full of herself...she is just as painful to watch as to listen to...,OFF,NOT,NOT,OFF
15630,2011 me was cute as hell and I love that 2015 me looks like an Antifa protestor (when really I was freezing cold in the Hunter). And I need to dye my hair again OMG I loved being a redhead. URL,NOT,OFF,OFF,NOT
24049,#SierraBurgessIsALoser  She is me when my phone dings 😂,OFF,NOT,NOT,OFF
93101,"#SerenaWilliams is NOT the first mother to be on the women's tour.  She is embarrassingly entitled and a bully.  Yes, that is Kim Clijsters winning a Major a year after having a baby.   @USER @USER @USER URL",NOT,OFF,OFF,NOT
34669,#DregsOfSociety  ??? #Deplorables   Liberals usually dehumanize those they want to exterminate later URL,OFF,OFF,NOT,OFF
57107,@USER @USER @USER Ummmm fascism actually started with Mussolini in Italy and Antifa is not a part of Anonymous. Anonymous does not censor like Antifa. They are not related as Anonymous is anti censorship URL,NOT,NOT,OFF,NOT
72369,#NightMayor 's DT cycle track can easily open Antifa tennis courts inside Crescent Heights until we are able to trash Nenshi’s communist vape shop!,OFF,NOT,NOT,OFF
24430,"#Florencehurricane 72 HOURS OF SUSTAINED LETHAL CYCLONIC FORCES, ONLY TO A FEW HOURS TO IMPACT TO  #NorthCarolina #SouthCarolina, AND #Georgia... DON'T BE STUPID... GET AWAY FROM THESE AREAS... @USER @USER #Florence Sep 12 12:13 PM #Nyc #Miami #Houston #Chicago #Nj #Ca #La URL",NOT,OFF,OFF,NOT
10727,"#Benghazi  #Haiti  #UraniumOne  #SethRich What more does the justice department need? No double standards! Just because you're Rich and Powerful doesn't mean you can rob, seal and murder! #DrainTheSwamp  #HillaryForPrison  #VoteRed #MAGA URL",OFF,NOT,NOT,OFF
86268,#BiggBossTamil #BiggBossTamil2 #BiggBoss2Tamil intha #Aishwarya va kuda manichirlam ana intha #Yashika 😡😡 The biggest reason for every fight in BB house. Yet our foolish people support her just because she is doing Tasks. URL,NOT,OFF,OFF,NOT
25125,#TheView stormy was in trapped by a dollar bill in her face poor pornstar but no worries the Democratic Party she is the leader of,OFF,OFF,NOT,OFF
85613,#ChristineBFord #LiberalsAreDesperate @USER every time liberals don't get there way they cry racism or sexual assault. Hard to believe,OFF,OFF,NOT,OFF
59423,#repost @USER is giving a word with this jacket. #preach #saynotofuckboys #dontgiveyourmagictomuggles URL,NOT,NOT,OFF,NOT
71063,$25 Amazon/PP-1-WW-Murder and Food Porn: A Northwest Cozy Mystery #8-Dianne Harman-Ends 10/2 URL,NOT,OFF,OFF,NOT
46232,#SayNoToShiaSunniFight I am Muslim You are a Muslim Than why shia and sunni,NOT,NOT,OFF,NOT
52866,"#NewVideo 🍆🍑💦 Sex Toys, Anyone?  URL URL",NOT,OFF,OFF,NOT
11100,#Antifa is recruiting for a designated #terrorist organization URL,OFF,NOT,NOT,OFF
72531,#GoodMorningAmerica  #TuesdayMotivation #Thankyou #FatherGod the #Americanpeople will begin to see the #truth about our #governmentcorruption @USER @USER @USER #mediaCorruption #NoRedaction #DeclassifyFISA #Declassification completely #Obama #HillaryClinton #Lies #Leakers #liberals URL,OFF,NOT,NOT,OFF
49210,#MenfessWGLCA To: @USER You are the dremiest dream come true that ever was. From: Me,NOT,NOT,OFF,NOT
56513,#Conservatives don’t care what you post..it’s @USER propaganda.. URL,OFF,NOT,NOT,OFF
97410,#GeoffreyOwens niggas don’t really understand...levels to career pursuits,OFF,OFF,NOT,OFF
34034,#Believe When you have a fat belly then you are insulin resistant and can remedy it without medicine by fasting... info is here URL URL,NOT,NOT,OFF,NOT
76833,"#NEWS Jeff Sessions: If you want more death, 'listen to the ACLU, Antifa, Black Lives Matter'"" URL #CNBC""",OFF,NOT,NOT,OFF
96594,"#Ford's attorney says she's receiving death threats and has had to move her family to safety"". Where's the proof that #Democrats #Antifa are not doing this to promote this circus?""",OFF,OFF,NOT,OFF
62689,#scottgimple ruined #TheWalkingDead and now he is doing the same to #FearTWD . Hope the checks cash forever because he should never get another job. #AMC,OFF,NOT,NOT,OFF
56232,#Chequers is chuckers. A reminder to @USER @USER 👇  EEA/EFTA (Norway) are ruled out. Move to CETA+++ (Canada) URL,NOT,NOT,OFF,NOT
29203,#tytlive Trump needs to go because he is a danger to the country and the world.  Any way we can get rid of him is good,OFF,NOT,NOT,OFF
65187,"#Room25 is actually incredible, Noname is the shit, always has been,  and I’m seein her in like 5 days in Melbourne. Life is good. Have a nice day.",NOT,OFF,OFF,NOT
